"","Variable","q_value","Type"
"64","Starchy.food..consumption.frequency...longitudinal.",0.889583333333333,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"65","Meats.and.seafood..consumption.frequency...longitudinal.",0.484090909090909,"phenotypeTwo-way Mixed repeated measures Anova"
"66","Meats.and.seafood..consumption.frequency...longitudinal.",0.648611111111111,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"67","Meats.and.seafood..consumption.frequency...longitudinal.",0.73625,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"68","Bread..consumption.frequency...longitudinal.",0.541071428571429,"phenotypeTwo-way Mixed repeated measures Anova"
"69","Bread..consumption.frequency...longitudinal.",0.133333333333333,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"70","Bread..consumption.frequency...longitudinal.",0.3,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"71","Dairy..consumption.frequency...longitudinal.",0.0375,"phenotypeTwo-way Mixed repeated measures Anova"
"72","Dairy..consumption.frequency...longitudinal.",0.133333333333333,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"73","Dairy..consumption.frequency...longitudinal.",0.541071428571429,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"74","Dietary.fat.and.oil..consumption.frequency...longitudinal.",0.791304347826087,"phenotypeTwo-way Mixed repeated measures Anova"
"75","Dietary.fat.and.oil..consumption.frequency...longitudinal.",0.73625,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"76","Dietary.fat.and.oil..consumption.frequency...longitudinal.",0.791304347826087,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"77","Vegetable..consumption.frequency...longitudinal.",0.182142857142857,"phenotypeTwo-way Mixed repeated measures Anova"
"78","Vegetable..consumption.frequency...longitudinal.",0.31,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"79","Vegetable..consumption.frequency...longitudinal.",0.791304347826087,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"80","Fruit..consumption.frequency...longitudinal.",0.3,"phenotypeTwo-way Mixed repeated measures Anova"
"81","Fruit..consumption.frequency...longitudinal.",0.575,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"82","Fruit..consumption.frequency...longitudinal.",0.575,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"83","Length.of.recent.foreign.travel",1,"phenotypeTwo-way Mixed repeated measures Anova"
"84","Length.of.recent.foreign.travel",NA,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"85","Length.of.recent.foreign.travel",NA,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
