,fold1,fold2,fold3,fold4,fold5,fold6,fold7,means
f__Lachnospiraceae.4,1.54429166423654,1.56662383542619,1.67883233291425,1.06729869298624,1.66463270711736,1.63114622251963,1.92454426776955,1.58248138899568
f__Acutalibacteraceae,2.32444086610244,1.42354574900244,1.77086136679553,1.4061335145759,1.8246087593489,0.683190801651469,1.34731258547987,1.54001337756522
f__unclassified.2,1.56135571030196,1.20646579509768,1.15998771947824,1.19666056261343,1.21029306571759,2.20596854258095,2.16916871577108,1.52998573022299
f__unclassified.10,1.18874378799979,1.72780863703217,1.7851489896089,1.64747210528401,1.72523878836436,1.18758702944053,1.43457560217416,1.52808213427199
f__unclassified.1,2.01070632235524,1.46183686567417,1.77369581060285,1.69396278523409,1.30608443663795,1.51925657945184,0.694503576532598,1.49429233949839
s__PROV_t__4989,1.02295935054472,0.887381323491488,0.717471872705327,1.55984296190246,1.31368696623626,1.66561994335436,1.93938202705065,1.30090634932647
s__PROV_t__258134,1.20962440827343,0.608965408679204,1.04764929350927,1.042910807749,1.23519108670259,0.732863697492079,1.5264776368957,1.05766890561447
f__unclassified.5,0.838644305680346,1.36866371216984,1.15926356496316,1.51649750491749,1.08767052308093,0.66572237864477,0.603496332182399,1.03427976023413
f__unclassified,0.83404501910596,1.43998927404574,0.901442334897179,0.985298158613397,1.34299683355733,0.843795606905571,0.863764654037093,1.03019026873747
s__Bacteroides__intestinalis,0.949818745195068,0.874078565000607,0.868387484971183,1.01526054204812,1.11327450013396,0.811950130794529,1.53404534286695,1.02383075871577
s__PROV_t__238194,0.864917748958005,0.964655898695821,1.04620418383255,0.666330838134848,1.15606123328348,1.04746037814892,1.09465054742247,0.977182975496586
f__unclassified.3,0.987778717104377,0.830085893991309,1.33547302886514,0.953984463707343,1.0159212332582,0.826995685786399,0.874586509041214,0.974975075964855
f__unclassified.8,0.447199404981217,0.618391466322533,1.06180189547662,1.00293697078632,0.583147069312865,1.37243545769118,1.69739085269285,0.969043302466226
f__unclassified.4,0.920272322337939,0.900679576133735,1.12614502211501,0.818244968647929,0.893617204683767,0.388017698630772,0.339278899801013,0.769465098907166
f__Erysipelotrichaceae,0.431919977141115,0.946294057737071,0.796010658107593,0.614933226480514,0.666208425390708,0.764066465889909,0.58936118681546,0.686970571080338
s__Clostridium_P__ventriculi,0.620168552605715,0.491713084324225,0.807680734549471,0.775954218820554,0.566045715902331,0.339895373067488,0.651586364259072,0.607577720504122
f__Ruminococcaceae,0.634994477171592,0.78519086961201,0.647379536569926,0.438639692788229,0.720215884849076,0.420298094145341,0.307782985514597,0.564928791521538
s__Veillonella_A__seminalis,0.171142951863975,0.596448950233906,0.761963944258284,0.662373667260641,0.782847870069091,0.292081230113268,0.515024328668928,0.540268991781156
s__Bacteroides__ovatus.2,0.41146264188561,0.272219921600685,0.435051988480656,0.364722305737562,0.531749042406712,0.177849527529059,0.314190298320307,0.358177960851513
