"","Variable","q_value","Type"
"47","Ready.to.eat.meals..consumption.frequency.",0.477027290963066,"wilcox"
"48","Meat..consumption.frequency.",0.726867229861131,"wilcox"
"49","Olive.oil.used.in.cooking..M3.",1,"wilcox"
"50","Seafood..consumption.frequency.",0.154446349676541,"wilcox"
"51","Sweetened.drink..consumption.frequency.",0.257273934710683,"wilcox"
"52","Vegetable..consumption.frequency.",0.177232726715652,"wilcox"
"53","Restaurant.prepared.meals..consumption.frequency.",0.599467965339876,"wilcox"
"54","Sugary.food..consumption.frequency.",0.827725829920295,"wilcox"
"55","Age..months.",0.154446349676541,"wilcox"
"56","Probiotic..consumption.frequency.",0.000694033696847491,"wilcox"
"57","Vitamin.B.complex.supplement..consumption.frequency.",0.0109486375637492,"wilcox"
"58","Vitamin.D..consumption.frequency.",0.0340803826530162,"wilcox"
"59","Age..years.",0.154446349676541,"wilcox"
"60","Gestational.age",1,"wilcox"
"61","Red.meat..consumption.frequency.",0.599475089520995,"wilcox"
"62","Annual.household.income_rank",1,"wilcox"
"63","Recent.anxiety..caretaker.reported.",0.019825,"phenotypeTwo-way Mixed repeated measures Anova"
"64","Recent.anxiety..caretaker.reported.",0.541071428571429,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"65","Recent.anxiety..caretaker.reported.",0.575,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"66","Starchy.food..consumption.frequency...longitudinal.",0.133333333333333,"phenotypeTwo-way Mixed repeated measures Anova"
"67","Starchy.food..consumption.frequency...longitudinal.",0.133333333333333,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"68","Starchy.food..consumption.frequency...longitudinal.",0.889583333333333,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"69","Meats.and.seafood..consumption.frequency...longitudinal.",0.484090909090909,"phenotypeTwo-way Mixed repeated measures Anova"
"70","Meats.and.seafood..consumption.frequency...longitudinal.",0.648611111111111,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"71","Meats.and.seafood..consumption.frequency...longitudinal.",0.73625,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"72","Bread..consumption.frequency...longitudinal.",0.541071428571429,"phenotypeTwo-way Mixed repeated measures Anova"
"73","Bread..consumption.frequency...longitudinal.",0.133333333333333,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"74","Bread..consumption.frequency...longitudinal.",0.3,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"75","Dairy..consumption.frequency...longitudinal.",0.0375,"phenotypeTwo-way Mixed repeated measures Anova"
"76","Dairy..consumption.frequency...longitudinal.",0.133333333333333,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"77","Dairy..consumption.frequency...longitudinal.",0.541071428571429,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"78","Dietary.fat.and.oil..consumption.frequency...longitudinal.",0.791304347826087,"phenotypeTwo-way Mixed repeated measures Anova"
"79","Dietary.fat.and.oil..consumption.frequency...longitudinal.",0.73625,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"80","Dietary.fat.and.oil..consumption.frequency...longitudinal.",0.791304347826087,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"81","Vegetable..consumption.frequency...longitudinal.",0.182142857142857,"phenotypeTwo-way Mixed repeated measures Anova"
"82","Vegetable..consumption.frequency...longitudinal.",0.31,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"83","Vegetable..consumption.frequency...longitudinal.",0.791304347826087,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"84","Fruit..consumption.frequency...longitudinal.",0.3,"phenotypeTwo-way Mixed repeated measures Anova"
"85","Fruit..consumption.frequency...longitudinal.",0.575,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"86","Fruit..consumption.frequency...longitudinal.",0.575,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"87","Length.of.recent.foreign.travel",1,"phenotypeTwo-way Mixed repeated measures Anova"
"88","Length.of.recent.foreign.travel",NA,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"89","Length.of.recent.foreign.travel",NA,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
